Date,Interest
1995-01,7.78
1995-02,7.47
1995-03,7.2
1995-04,7.06
1995-05,6.63
1995-06,6.17
1995-07,6.28
1995-08,6.49
1995-09,6.2
1995-10,6.04
1995-11,5.93
1995-12,5.71
1996-01,5.65
1996-02,5.81
1996-03,6.27
1996-04,6.51
1996-05,6.74
1996-06,6.91
1996-07,6.87
1996-08,6.64
1996-09,6.83
1996-10,6.53
1996-11,6.2
1996-12,6.3
1997-01,6.58
1997-02,6.42
1997-03,6.69
1997-04,6.89
1997-05,6.71
1997-06,6.49
1997-07,6.22
1997-08,6.3
1997-09,6.21
1997-10,6.03
1997-11,5.88
1997-12,5.81
1998-01,5.54
1998-02,5.57
1998-03,5.65
1998-04,5.64
1998-05,5.65
1998-06,5.5
1998-07,5.46
1998-08,5.34
1998-09,4.81
1998-10,4.53
1998-11,4.83
1998-12,4.65
1999-01,4.72
1999-02,5
1999-03,5.23
1999-04,5.18
1999-05,5.54
1999-06,5.9
1999-07,5.79
1999-08,5.94
1999-09,5.92
1999-10,6.11
1999-11,6.03
1999-12,6.28
2000-01,6.66
2000-02,6.52
2000-03,6.26
2000-04,5.99
2000-05,6.44
2000-06,6.1
2000-07,6.05
2000-08,5.83
2000-09,5.8
2000-10,5.74
2000-11,5.72
2000-12,5.24
2001-01,5.16
2001-02,5.1
2001-03,4.89
2001-04,5.14
2001-05,5.39
2001-06,5.28
2001-07,5.24
2001-08,4.97
2001-09,4.73
2001-10,4.57
2001-11,4.65
2001-12,5.09
2002-01,5.04
2002-02,4.91
2002-03,5.28
2002-04,5.21
2002-05,5.16
2002-06,4.93
2002-07,4.65
2002-08,4.26
2002-09,3.87
2002-10,3.94
2002-11,4.05
2002-12,4.03
2003-01,4.05
2003-02,3.9
2003-03,3.81
2003-04,3.96
2003-05,3.57
2003-06,3.33
2003-07,3.98
2003-08,4.45
2003-09,4.27
2003-10,4.29
2003-11,4.3
2003-12,4.27